model,env,error_type,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
smollm2-360m,coderepair,runtime_error,sem,-0.13218106826146445,-1.396277665644884,1.1750388534863785,15,15,-0.051238334571426014,0.826,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,syntax_error,G,-87.77534230798483,-102.21306931972504,-72.46324799209833,4,4,-5.339631120601398,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,syntax_error,copy,87.89362559467554,71.66964370757341,102.90776285529137,4,4,5.109606734116507,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,syntax_error,sem,-0.11828328669071198,-1.1956431716680527,0.9590765982866287,4,4,-0.08980985747867955,0.797,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,test_failure,G,-66.8663251659809,-79.19385766096605,-56.01312649037977,39,39,-1.723964873539108,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,test_failure,copy,67.79616609062904,56.699315354724725,80.49338867341478,39,39,1.701714329521044,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,test_failure,sem,-0.9298409246481382,-1.5049315244532548,-0.44203539257630414,39,39,-0.5311883816245856,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,contact_not_found,G,-21.94729407628377,-22.996322870254517,-20.49638843536377,3,3,-16.914859188360687,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,contact_not_found,copy,22.93172464768092,20.708778500556946,24.843332290649414,3,3,10.999558257552643,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,contact_not_found,sem,-0.9844305713971456,-1.8470094203948975,-0.21239006519317627,3,3,-1.1989720984518062,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,event_not_found,G,-13.047899643580118,-13.654852390289307,-12.282638788223267,3,3,-18.64863811144471,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,event_not_found,copy,11.969666719436646,11.005271434783936,13.204673767089844,3,3,10.645421958748647,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,event_not_found,sem,1.0782329241434734,0.4501786231994629,1.507152795791626,3,3,1.9395706293119317,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,format_error,G,-18.394409516995605,-20.146790559318934,-16.86895335462283,22,22,-4.5808701130286895,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,format_error,copy,13.819936600598423,11.722585930404337,15.691899496994235,22,22,2.9022317183563127,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,format_error,sem,4.574472916397181,3.158267720720985,6.1365357076241205,22,22,1.2570391696413898,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,missing_argument,G,-15.396037844511179,-18.580640495138674,-11.508535829310619,13,12,-2.35292676232264,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
