model,env,harness,metric,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,verbatim,solved,0.4166666666666667,0.20833333333333334,0.625,24,24,0.8273595406616218,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,stuck,0.2916666666666667,0.125,0.4583333333333333,24,24,0.6281781937772554,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,exact_repeat_rate,0.3072916666666667,0.14895833333333333,0.4708333333333333,16,16,0.9085020417240054,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,canonical_repeat_rate,0.3072916666666667,0.14895833333333333,0.4708333333333333,16,16,0.9085020417240054,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,ok_call_rate,0.611111111111111,0.4826388888888889,0.7395833333333334,24,24,1.8250861780067824,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,n_steps,4.166666666666667,3.2083333333333335,5.083333333333333,24,24,1.7708493737082782,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,gen_tokens,66.625,47.958333333333336,85.625,24,24,1.3770257470591085,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,prompt_tokens,2764.3333333333335,2109.1510416666665,3392.264583333333,24,24,1.6724499134977566,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,prompt_tokens_per_step,633.4583333333334,610.1873263888889,655.9862847222223,24,24,10.78906933362049,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,truncated_rate,0.013888888888888888,0.0,0.03472222222222222,24,24,0.2951630263451236,0.246,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,prose_rate,0.22222222222222224,0.09722222222222222,0.36111111111111116,24,24,0.6618876325292974,0.0002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim,seconds,46.2533186574777,33.12443456128239,60.34667993535597,24,24,1.3305688407757577,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,solved,0.4166666666666667,0.20833333333333334,0.625,24,24,0.8273595406616218,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,stuck,0.125,0.0,0.25,24,24,0.37000643495047747,0.0856,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,exact_repeat_rate,0.07500000000000001,0.0,0.15000000000000002,16,16,0.4651302547095317,0.0764,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,canonical_repeat_rate,0.07500000000000001,0.0,0.15000000000000002,16,16,0.4651302547095317,0.0764,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,ok_call_rate,0.611111111111111,0.4826388888888889,0.7395833333333334,24,24,1.8250861780067824,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,n_steps,4.166666666666667,3.2083333333333335,5.083333333333333,24,24,1.7708493737082782,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,gen_tokens,69.375,49.375,90.0,24,24,1.3373249212242506,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prompt_tokens,2764.0833333333335,2107.4958333333334,3393.2593749999996,24,24,1.6725417736680765,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prompt_tokens_per_step,633.4166666666666,610.1314236111111,655.8890624999999,24,24,10.79939154562045,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
