model,env,template,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen3-0.6b,toolshed,roster,sem,2.5739657233158746,1.5995611267785232,3.793207030211176,9,6,1.028191342948943,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,schedule,G,-8.490685548506338,-11.4737788279308,-4.782691185921431,11,6,-0.8503421784540925,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,schedule,copy,3.527812439313328,-1.332986768707633,7.660288086355043,11,6,0.28294356261611936,0.096,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,schedule,sem,4.962873109193011,3.696346410683223,6.489090572344139,11,6,1.4954629648339883,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
smollm2-1.7b,toolshed,email_file,G,-15.540312913060188,-15.5711366571486,-15.417017936706543,5,2,-4.444374295534429,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,email_file,copy,12.752373611927032,12.01099419593811,12.937718465924263,5,2,2.6914836773000217,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,email_file,sem,2.787939301133156,2.6334181912243366,3.4060237407684326,5,2,2.081905585864711,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,schedule,G,-9.771129474043846,-10.114235480626425,-8.741811454296112,4,2,-1.5438440587302975,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,schedule,copy,9.731592431664467,8.231755197048187,10.23153817653656,4,2,1.3236562150305917,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,schedule,sem,0.03953704237937927,-0.11730269591013591,0.5100562572479248,4,2,0.03450903649173741,0.479,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-135m,coderepair,mbpp,G,-80.95995365400783,-91.81152417554718,-70.81455457493908,61,61,-1.8980912662007405,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,mbpp,copy,82.36218353324249,72.24889352155515,93.27561931285213,61,61,1.926690079079714,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,mbpp,sem,-1.402229879234658,-1.9053570525934462,-0.9118707107960201,61,61,-0.7001416155711534,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,archive,G,-18.717846519671955,-21.96798115669248,-14.551933661550292,13,6,-2.8884855803284157,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,archive,copy,13.121032531444843,8.057448863983154,17.11966483294964,13,6,1.599559427141724,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,archive,sem,5.596813988227111,4.629911673920495,6.820816245675087,13,6,2.192454136916888,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,cancel_event,G,-18.219269445309273,-23.154422277212145,-15.004233588220982,13,7,-2.2697506633094955,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,cancel_event,copy,17.271910227262058,14.293804365854998,21.924461739848958,13,7,2.221602056007193,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,cancel_event,sem,0.9473592180472153,0.6376937287194389,1.2266215335311634,13,7,0.8947992442868044,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,convert,G,-29.727302818000318,-34.59220241286925,-26.37215171918894,20,10,-2.8612581325484636,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,convert,copy,29.060415364801884,25.887849642039452,33.456071414351456,20,10,3.0956066275455334,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,convert,sem,0.6668874531984329,0.1475304270153323,1.2551010697714837,20,10,0.38526654907976354,0.008,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,email_file,G,-22.41316982394173,-25.283535235126813,-19.42117586436155,21,10,-3.186086611757352,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,email_file,copy,19.701145106837863,17.072031299334036,22.615197130065265,21,10,3.063425700284,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,email_file,sem,2.7120247171038674,1.4994498415439397,4.368092608036739,21,10,1.034212793472551,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,roster,G,-31.519084724096153,-38.32807499087519,-27.491815371946856,13,6,-2.159979429594151,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,roster,copy,31.485006236113033,27.22188686240803,38.57357999251944,13,6,2.0155043760213935,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,roster,sem,0.03407848798311674,-0.25602039098739626,0.2613579355753385,13,6,0.03087136907074727,0.721,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,schedule,G,-21.847581008076666,-24.08351879048915,-19.60916123711749,20,9,-3.2999727317886918,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,schedule,copy,18.489806532859802,15.83513483786512,20.96619777230563,20,9,2.598614985598708,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,schedule,sem,3.3577744752168655,2.392245000064003,4.200634878011894,20,9,1.6341824389140305,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-360m,coderepair,mbpp,G,-70.34886230876049,-79.27316146615892,-61.67253717174134,60,60,-2.0053315358000603,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,mbpp,copy,71.0197001794974,62.08438777443022,80.24283405919869,60,60,1.968111449410803,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,mbpp,sem,-0.6708378707369168,-1.160385214202106,-0.19937811707456932,60,60,-0.3450066377126359,0.006,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,archive,G,-15.874190419912338,-17.836194772611965,-13.969474778725552,13,6,-3.2252448136523157,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,archive,copy,11.779412113703215,8.905375017039479,14.66248744726181,13,6,2.19621188457758,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,archive,sem,4.094778306209124,2.8977290451526643,5.295729999358837,13,6,2.147554181542216,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,cancel_event,G,-10.35673102736473,-14.377497049023708,-7.9652313361884595,13,7,-1.7282440405097133,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,cancel_event,copy,8.740383120683523,5.955291558013243,12.955263162742959,13,7,1.2657170300867784,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,cancel_event,sem,1.6163479066812074,1.0741371742807901,2.31780295889729,13,7,1.0870035344385736,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,convert,G,-25.560781802237035,-31.95088052472898,-21.233910229838557,20,10,-1.999745490935359,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,convert,copy,22.874082498252392,19.01333100906263,28.84359359939893,20,10,1.909107375612219,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,convert,sem,2.686699303984642,2.050904194696082,3.3316618648302905,20,10,1.9546676987322034,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,email_file,G,-19.90462613105774,-23.571885236650704,-16.162979527302088,21,10,-3.0511499532958943,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,email_file,copy,15.54371964931488,11.016335574208814,19.17934548314661,21,10,2.2321581623566105,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,email_file,sem,4.360906481742859,2.7427922488855465,6.623438918760371,21,10,0.9874901994330642,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,roster,G,-27.629941280071552,-34.006817330013625,-24.025763824076538,13,6,-1.6920697302147738,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,roster,copy,26.554577937492958,23.06550183152514,32.79561960697174,13,6,1.764298690679884,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,roster,sem,1.0753633425785944,0.6905898014704387,1.4340928792953491,13,6,0.67409847467816,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,schedule,G,-11.63206963688135,-13.000667874727618,-10.146300034546538,20,9,-2.472586664769798,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,schedule,copy,10.623543572425842,8.755256773974585,12.36292311883108,20,9,1.9345633538406306,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,schedule,sem,1.0085260644555092,0.4282984890482005,1.5009466448460547,20,9,0.7846634483753884,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
