model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,coderepair,undefined_name,copy,74.5939134856065,59.477418993910156,94.58945699284475,6,6,3.016166322689596,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,undefined_name,sem,-2.160544693470001,-4.0445173832277455,-0.5795568923155466,6,6,-0.9067047854732098,0.001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,arg_typo,G,-5.877520288842229,-10.221778710172153,-1.121527850552678,13,13,-0.6788125783372593,0.003,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,arg_typo,copy,4.670036202869737,0.7099924083226002,8.65392866892596,13,13,0.645842137722774,0.011,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,arg_typo,sem,1.2074840859724925,-1.2252512148653085,3.758360639099886,13,13,0.2539587542472082,0.344,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,date_format,G,-18.047124037375816,-21.923500155313658,-14.554587772087409,13,13,-2.5885756350658555,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,date_format,copy,12.583979359039894,7.627995360986544,17.555912880886055,13,13,1.3196050786287759,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,date_format,sem,5.463144678335923,3.2327568599810967,7.976610065767398,13,13,1.1989145086015336,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop_arg,G,-10.366885135380121,-12.024839845314048,-8.283947027291958,13,12,-2.9066210841127247,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop_arg,copy,7.61951489173449,4.681330395117402,9.994905448208252,13,12,1.4035055500024292,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop_arg,sem,2.7473702436456313,1.6825982426603636,3.8768183641583436,13,12,1.0342967669720236,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,hallucinated_entity,G,-16.894957574370963,-21.378682292496357,-12.644826630853977,13,13,-1.9869574382313373,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,hallucinated_entity,copy,15.136945417150855,10.699529274287991,19.65958632073866,13,13,1.765613447861514,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
