model,env,harness,metric,n_paired,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,verbatim+instr,solved,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.4377975178854565,0.0254,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,stuck,24,-0.125,-0.3333333333333333,0.08333333333333333,24,24,-0.23290616784204732,0.328,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,exact_repeat_rate,12,-0.16527777777777777,-0.4361458333333333,0.11666666666666665,12,12,-0.3224354282770952,0.2466,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,canonical_repeat_rate,12,-0.16527777777777777,-0.4361458333333333,0.11666666666666665,12,12,-0.3224354282770952,0.2466,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,ok_call_rate,24,0.125,0.01388888888888889,0.2291666666666667,24,24,0.44107694587277074,0.026,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,n_steps,24,-0.9583333333333334,-1.7916666666666667,-0.25,24,24,-0.49286151609319184,0.0064,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,gen_tokens,24,-19.75,-32.583333333333336,-6.375,24,24,-0.5911719971906344,0.0014,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prompt_tokens,24,-554.125,-1108.596875,-77.17291666666718,24,24,-0.4206721974435289,0.0126,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prompt_tokens_per_step,24,12.402777777777771,-0.04878472222222068,23.75694444444444,24,24,0.40222036066660155,0.0326,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,truncated_rate,24,0.02777777777777778,0.0,0.08333333333333333,24,24,0.20412414523193148,0.5406,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prose_rate,24,-0.11805555555555557,-0.20833333333333334,-0.041666666666666664,24,24,-0.5587858610252892,0.002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,seconds,24,-6.35993708173434,-17.55720880826314,4.697563657412926,24,24,-0.22786385194686068,0.248,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
